zone_id,zone_full_name,state_fips,shipment_lane_count,total_tons,total_value_usd,climate_risk_score,climate_risk_tier,risk_intensity_score,risk_intensity_tier,state_storm_event_count,state_storm_damage_usd,ndvi_anomaly,vegetation_stress_tier,latitude,longitude
132,"Savannah-Hinesville-Statesboro, GA  CFS Area ",13,32141,67027.29992200008,151828.02530199985,0.1874,Low,0.0334,Low,15321,3766192190.0,0.02290000000000003,Normal,33.040619,-83.643074
139,Remainder of Georgia,13,13389,184549.43119700014,180035.58641199998,0.1874,Low,0.0334,Low,15321,3766192190.0,0.02290000000000003,Normal,33.040619,-83.643074
151,"Urban Honolulu, HI  CFS Area ",15,10306,23716.292526000027,36680.601532000015,0.0989,Low,1.0,High,5441,5691400250.0,-0.000500000000000056,Normal,21.094318,-157.498337
159,Remainder of Hawaii,15,1789,7159.356787000001,6190.054039000001,0.0989,Low,1.0,High,5441,5691400250.0,-0.000500000000000056,Normal,21.094318,-157.498337
160,Idaho,16,8549,156139.6363800001,113858.14037499992,0.053,Low,0.0294,Low,4769,449840000.0,,No Data,44.240459,-114.478828
171,"Chicago-Naperville, IL-IN-WI  CFS Area (IL Part)",17,45809,348085.41561199987,906757.6767500008,0.2222,Low,0.0087,Low,20278,1495163400.0,-0.008100000000000107,Normal,40.349457,-88.986137
172,"St. Louis-St. Charles-Farmington, MO-IL  CFS Area (IL Part)",17,10197,72856.46849199991,54439.298848,0.2222,Low,0.0087,Low,20278,1495163400.0,-0.008100000000000107,Normal,40.349457,-88.986137
179,Remainder of Illinois,17,16600,375830.10796999984,279804.8718589998,0.2222,Low,0.0087,Low,20278,1495163400.0,-0.008100000000000107,Normal,40.349457,-88.986137
181,"Chicago-Naperville, IL-IN-WI  CFS Area (IN Part)",18,9684,96560.63744199998,128769.205435,0.1206,Low,0.003,Low,11372,308163300.0,-0.012599999999999945,Normal,39.849426,-86.258278
182,"Indianapolis-Carmel-Muncie, IN  CFS Area ",18,14740,131780.5752309999,199564.89758900006,0.1206,Low,0.003,Low,11372,308163300.0,-0.012599999999999945,Normal,39.849426,-86.258278
183,"Fort Wayne-Huntington-Auburn, IN  CFS Area ",18,10710,64825.133774999995,110005.33907600006,0.1206,Low,0.003,Low,11372,308163300.0,-0.012599999999999945,Normal,39.849426,-86.258278
189,Remainder of Indiana,18,12414,259834.51359400013,263115.4635749998,0.1206,Low,0.003,Low,11372,308163300.0,-0.012599999999999945,Normal,39.849426,-86.258278
191,"Des Moines-Ames-West Des Moines, IA CFS Area",19,9854,56017.32158,56809.796937,0.2124,Low,0.0198,Low,19781,879130850.0,0.02179999999999993,Normal,42.011539,-93.210526
199,Remainder of Iowa,19,11533,356225.405519,271646.1828030002,0.2124,Low,0.0198,Low,19781,879130850.0,0.02179999999999993,Normal,42.011539,-93.210526
201,"Kansas City-Overland Park-Kansas City, MO-KS  CFS Area (KS Part)",20,8715,47660.47207800001,80376.57417999997,0.2421,Low,0.007,Low,23068,266196180.0,-0.0262,Normal,38.5266,-96.726486
202,"Wichita-Winfield, KS  CFS Area ",20,7367,26543.043533999993,35707.974587000004,0.2421,Low,0.007,Low,23068,266196180.0,-0.0262,Normal,38.5266,-96.726486
209,Remainder of Kansas,20,7934,193954.4501160002,158100.997468,0.2421,Low,0.007,Low,23068,266196180.0,-0.0262,Normal,38.5266,-96.726486
211,"Cincinnati-Wilmington-Maysville, OH-KY-IN  CFS Area (KY Part)",21,12803,51559.07232400001,76757.30889300001,0.1836,Low,0.0027,Low,17490,202162770.0,0.013800000000000034,Normal,37.66814,-84.670067
212,"Louisville/Jefferson County-Elizabethtown-Bardstown, KY-IN  CFS Area (KY Part)",21,29910,50557.01149500003,140482.45681500004,0.1836,Low,0.0027,Low,17490,202162770.0,0.013800000000000034,Normal,37.66814,-84.670067
